name,team,GW,predicted_assists
Norberto Murara Neto,Arsenal,31,0.008442433498517662
Joe Aribo,Southampton,31,0.008437153268678084
Rico Lewis,Man City,31,0.00841924021998868
Niclas Füllkrug,West Ham,31,0.008379454064242323
Benjamin White,Arsenal,31,0.008370326816187346
Giovani Lo Celso,Spurs,31,0.008318287924975331
Christian Nørgaard,Brentford,31,0.0082890595247597
Keane Lewis-Potter,Brentford,31,0.008287520235993493
Miguel Almirón Rejala,Newcastle,31,0.00827560933136942
Jannik Vestergaard,Leicester,31,0.008270523622204476
Mykhailo Mudryk,Chelsea,31,0.008250430115284717
Samuel Amissah,Fulham,31,0.008204119260817612
Kim Ji-soo,Brentford,31,0.008175910270516723
Chadi Riad Dnanou,Crystal Palace,31,0.008157846612516175
Calvin Bassey,Fulham,31,0.00814537830514501
Nathan Broadhead,Ipswich,31,0.008044125399777233
Jakub Moder,Brighton,31,0.008030767403390286
Christian Eriksen,Man Utd,31,0.00800770258791494
Lesley Ugochukwu,Southampton,31,0.008005099898436946
Jens Cajuste,Ipswich,31,0.008004254645010487
Alfie Gilchrist,Chelsea,31,0.007944666328026142
Emiliano Martínez Romero,Aston Villa,31,0.007918636730097213
Nayef Aguerd,West Ham,31,0.007897899024771763
Jamaldeen Jimoh,Aston Villa,31,0.007889695179406428
Francisco Jorge Tomás Oliveira,Wolves,31,0.007877203554507389
Ferdi Kadioglu,Brighton,31,0.007799895776468871
Mark O’Mahony,Brighton,31,0.007797609338503356
Manuel Ugarte,Man Utd,31,0.007788738087717772
Altay Bayindir,Man Utd,31,0.007753775157484601
Maxwel Cornet,Southampton,31,0.00773243714165135
Tosin Adarabioyo,Chelsea,31,0.00772747210678452
Santiago Bueno,Wolves,31,0.0077222720367536805
Lucas Bergström,Chelsea,31,0.007666106149093325
Gonçalo Manuel Ganchinho Guedes,Wolves,31,0.007603388446956584
Jake O'Brien,Everton,31,0.007599573015227656
Marcus Myers-Harness,Ipswich,31,0.0075644194852420975
Josh Nichols,Arsenal,31,0.007511571136104475
Ronnie Edwards,Southampton,31,0.007462126627654405
Andrew Omobamidele,Nott'm Forest,31,0.007355868565344684
Jack Grealish,Man City,31,0.007299023418107712
Cristian Romero,Spurs,31,0.007297291611436945
Robert Sánchez,Chelsea,31,0.007278660890269456
Jesurun Rak-Sakyi,Crystal Palace,31,0.00724820908236847
Filip Marschall,Aston Villa,31,0.007247648300525924
Tomáš Souček,West Ham,31,0.007236524116162589
John McGinn,Aston Villa,31,0.007189042339732764
Remi Matthews,Crystal Palace,31,0.0071679229900406035
Kacper Kozłowski,Brighton,31,0.007153067968544502
Kalvin Phillips,Ipswich,31,0.007085199640217874
Willy Boly,Nott'm Forest,31,0.007081878641580721
Ezri Konsa Ngoyo,Aston Villa,31,0.007007319669345204
Josh Bowler,Nott'm Forest,31,0.006986302573261749
Odeluga Offiah,Brighton,31,0.006976964240580677
Raúl Jiménez,Fulham,31,0.006954092031381981
Justin Kluivert,Bournemouth,31,0.006947629929971813
Fábio Freitas Gouveia Carvalho,Brentford,31,0.006935185339430742
Conor Chaplin,Ipswich,31,0.006906801260033265
Yves Bissouma,Spurs,31,0.006896041528976828
Joachim Andersen,Fulham,31,0.006871972722734156
Edson Álvarez Velázquez,West Ham,31,0.006786099759127006
Hwang Ui-jo,Nott'm Forest,31,0.0067741984157096684
Lewis O'Brien,Nott'm Forest,31,0.006718869401645714
Jacob Greaves,Ipswich,31,0.006704156376478235
Tom Cairney,Fulham,31,0.0066305299497749475
Jakub Kiwior,Arsenal,31,0.006607342412034487
Konstantinos Tsimikas,Liverpool,31,0.0065983366242766146
Chris Mepham,Bournemouth,31,0.006581522232254318
Jean-Philippe Mateta,Crystal Palace,31,0.0065707747481133245
Filip Jørgensen,Chelsea,31,0.006555594781606737
James Maddison,Spurs,31,0.006540634853739199
Stefan Ortega Moreno,Man City,31,0.006484101991078036
Luke Woolfenden,Ipswich,31,0.006460176136215743
Kamaldeen Sulemana,Southampton,31,0.006446426624661572
Marcus Bettinelli,Chelsea,31,0.006415549305857025
Tyler Adams,Bournemouth,31,0.006411905144643673
Jacob Wright,Man City,31,0.00636739636705482
Malcolm Ebiowei,Crystal Palace,31,0.006271422057172361
Taylor Harwood-Bellis,Southampton,31,0.006221655172896376
Kasey McAteer,Leicester,31,0.006202617505760783
Ibrahim Osman,Brighton,31,0.006188892858903406
Nick Pope,Newcastle,31,0.0061850898145574
Declan Rice,Arsenal,31,0.006145337087282451
Luke Shaw,Man Utd,31,0.006121860606285714
Massimo Luongo,Ipswich,31,0.006035098459437586
Saša Lukić,Fulham,31,0.005967424275415153
Jørgen Strand Larsen,Wolves,31,0.005922151704540872
Garang Kuol,Newcastle,31,0.005919453171361217
Sam Morsy,Ipswich,31,0.005910052216068865
Mads Hermansen,Leicester,31,0.005891819596221514
Nikola Milenković,Nott'm Forest,31,0.005883971491697148
Marc Guiu Paz,Chelsea,31,0.005821072437752291
Issa Diop,Fulham,31,0.005712198435924255
Marcos Senesi,Bournemouth,31,0.005687207275926693
James Bree,Southampton,31,0.0056732223803805885
Amario Cozier-Duberry,Brighton,31,0.005669103930111939
Josh Dasilva,Brentford,31,0.005648295084803525
Jay Stansfield,Fulham,31,0.0056401326468790754
Wes Okoduwa,Wolves,31,0.0056331124807657024
Sil Swinkels,Aston Villa,31,0.005594639611430436
Ayden Heaven,Arsenal,31,0.005562971782734181
Matt Turner,Crystal Palace,31,0.005541452087182149
Jack Fletcher,Man Utd,31,0.005510205375377256
Luke Thomas,Leicester,31,0.005474385639134034
Sugawara Yukinari,Southampton,31,0.005472404438795729
Mark Travers,Bournemouth,31,0.005383959726099948
Axel Disasi,Chelsea,31,0.005381648667845599
Jakub Stolarczyk,Leicester,31,0.005359478989276507
Antony Matheus dos Santos,Man Utd,31,0.005335639835787545
Jan Paul van Hecke,Brighton,31,0.005290618384581964
Sam Johnstone,Wolves,31,0.0052408228814129765
João Félix Sequeira,Chelsea,31,0.005231890496761281
Asmir Begovic,Everton,31,0.005229994755521503
Phil Foden,Man City,31,0.005189976217212846
James McConnell,Liverpool,31,0.005177671169378213
Joël Veltman,Brighton,31,0.005173788229296069
Billy Gilmour,Brighton,31,0.005154392636306678
Saša Kalajdžić,Wolves,31,0.005143760300394427
Cameron Burgess,Ipswich,31,0.005016251091268549
Harry Souttar,Leicester,31,0.005001142685479423
José Malheiro de Sá,Wolves,31,0.004965603372059339
Lewis Dunk,Brighton,31,0.004947633034564344
Richarlison de Andrade,Spurs,31,0.004932411124316985
James McAtee,Man City,31,0.004931700747254519
Andy Irving,West Ham,31,0.004918839412296145
Dean Henderson,Crystal Palace,31,0.004909015572467616
Jeremy Sarmiento Morante,Brighton,31,0.0049021611606776365
Caleb Wiley,Chelsea,31,0.004845547426758509
Rodrigo Muniz Carvalho,Fulham,31,0.004837018119508419
Vitaly Janelt,Brentford,31,0.004800868496328832
Ibrahima Konaté,Liverpool,31,0.004780148944932087
Kobbie Mainoo,Man Utd,31,0.0047761518747023324
Rodrigo Martins Gomes,Wolves,31,0.004757117504969212
Jean-Clair Todibo,West Ham,31,0.004723445964520992
Bart Verbruggen,Brighton,31,0.00472166043147736
Max Kinsey,Bournemouth,31,0.0046754626139771365
Tino Livramento,Newcastle,31,0.0045659303516880564
Georginio Rutter,Brighton,31,0.004564268051479728
Luke Harris,Fulham,31,0.0045532616970873074
Mason Holgate,Everton,31,0.004543017194918541
Kaelan Casey,West Ham,31,0.004535849884511721
Ashley Phillips,Spurs,31,0.004480562823746474
Roman Dixon,Everton,31,0.004469389428753327
Franco Umeh-Chibueze,Crystal Palace,31,0.004456691478113473
Kadan Young,Aston Villa,31,0.004447245735938559
Nathan Aké,Man City,31,0.004416493987800599
Paul Onuachu,Southampton,31,0.004334128299290941
Jamal Lewis,Newcastle,31,0.004309809772415985
Timothy Castagne,Fulham,31,0.004307731246750745
Andrew Moran,Brighton,31,0.004306658921243831
Destiny Udogie,Spurs,31,0.004273837744115938
Max Kilman,West Ham,31,0.004221365884962162
Pierre-Emile Højbjerg,Spurs,31,0.004189963462517109
Ben Davies,Spurs,31,0.004164240736034403
Elkan Baggott,Ipswich,31,0.0041502844500227
Carlos Soler,West Ham,31,0.004113139283928424
Julio Enciso,Brighton,31,0.004078846958336425
Omari Kellyman,Chelsea,31,0.004068078365026661
Sean Longstaff,Newcastle,31,0.00401066102856119
Kevin Mbabu,Fulham,31,0.003989370808929549
Toby Collyer,Man Utd,31,0.003916440567585682
Wesley Fofana,Chelsea,31,0.0039058309222585238
Pau Torres,Aston Villa,31,0.0038134102341183668
Hugo Bueno López,Wolves,31,0.003811726690833161
Victor Lindelöf,Man Utd,31,0.0037968697289079683
Callum Bates,Everton,31,0.0037811675399336015
Solly March,Brighton,31,0.003737664528280662
Emil Krafth,Newcastle,31,0.003713930575989432
Elliot Anderson,Nott'm Forest,31,0.003704338329551646
Jamaal Lascelles,Newcastle,31,0.003696667480205959
Matz Sels,Nott'm Forest,31,0.0036844614872370406
Armel Bella-Kotchap,Southampton,31,0.0036799942877746884
Mikel Merino,Arsenal,31,0.003613492941180003
Kieran Tierney,Arsenal,31,0.00359629381352293
Conor Coady,Leicester,31,0.003587385122633218
