name,team,position,value,predicted_goals
Admiral Muskwe,11,1,45,0.0
Edson Álvarez Velázquez,18,3,50,0.0
Jakub Kiwior,0,0,43,0.0
Lloyd Kelly,2,0,45,0.0
Vitalii Mykolenko,8,0,46,0.0
Aidan Francis-Clarke,11,0,40,0.0
Emerson Leite de Souza Junior,17,0,43,0.0
Joël Veltman,4,0,43,0.0
Miguel Almirón Rejala,14,3,61,0.0
Bobby Thomas,5,0,40,0.0
Yago de Santiago Alonso,17,3,45,0.0
Stefan Ortega Moreno,12,2,38,0.0
Matthew Whittingham,19,3,45,0.0
Demarai Gray,8,3,53,0.0
Facundo Pellistri Rebollo,13,3,42,0.0
Bruno Cavaco Jordão,19,3,43,0.0
Kjell Scherpen,4,2,40,0.0
Máximo Perrone,12,3,44,0.0
Aleksandar Mitrović,9,1,74,0.0
Kevin Schade,3,3,52,0.0
Moussa Niakhaté,15,0,45,0.0
Paul Dummett,14,0,39,0.0
Rodrigo Duarte Ribeiro,15,1,45,0.0
Sven Botman,14,0,45,0.0
Issa Diop,9,0,44,0.0
Aaron Ramsdale,0,2,45,0.0
Tosin Adarabioyo,9,0,43,0.0
Trent Alexander-Arnold,10,0,86,0.0
Anass Zaroury,5,3,46,0.0
Pervis Estupiñán,4,0,51,0.0
Enso González,19,3,50,0.0
Chiedozie Ogbene,11,1,49,0.0
Romain Faivre,2,3,50,0.0
Harvey Elliott,10,3,48,0.0
Jack Robinson,16,0,43,0.0
Detlef Esapa Osong,15,1,45,0.0
James Hill,2,0,40,0.0
Ibrahim Sangaré,15,3,49,0.0
Matt Targett,14,0,42,0.0
Max Kinsey-Wellings,2,0,40,0.0
Shea Charles,12,3,45,0.0
Joe Rodon,17,0,40,0.0
Neal Maupay,3,1,49,0.0
Jordan Ayew,7,3,54,0.0
Divin Mubama,18,1,42,0.0
Nathaniel Phillips,10,0,40,0.0
Dominik Szoboszlai,10,3,71,0.0
Ryan Oné,16,3,44,0.0
Kristian Sekularac,9,3,45,0.0
Jordan Clark,11,3,48,0.0
Elijah Campbell,8,0,40,0.0
Mason Mount,13,3,68,0.0
Ellery Balcombe,3,2,39,0.0
David Brooks,2,3,47,0.0
John McGinn,1,3,55,0.0
Treymaurice Nyoni,10,3,45,0.0
Tanguy Ndombélé Alvaro,17,3,44,0.0
Ben Parkinson,14,1,45,0.0
Jairo Riedewald,7,3,43,0.0
Yoane Wissa,3,1,56,0.0
Reiss Nelson,0,3,48,0.0
Gabriel Martinelli Silva,0,3,77,0.0
Wout Weghorst,5,1,55,0.0
Jhon Durán,1,1,50,0.0
Oscar Bobb,12,3,44,0.0
Granit Xhaka,0,3,60,0.0
James Trafford,5,2,45,0.0
Dan Burn,14,0,44,0.0
Saïd Benrahma,18,3,56,0.0
Brandon Aguilera Zamora,15,3,45,0.0
Dominic Sadi,2,3,45,0.0
Tyler Onyango,8,3,44,0.0
Mahamadou Susoho,12,3,45,0.0
Joe Taylor,11,1,45,0.0
Gustavo Hamer,16,3,50,0.0
Karl Darlow,14,2,40,0.0
Saman Ghoddos,3,3,45,0.0
Joachim Andersen,7,0,48,0.0
Alfie Gilchrist,6,0,40,0.0
Allan Campbell,11,3,49,0.0
Carlos Mendes Gomes,11,3,45,0.0
Pedro Lomba Neto,19,3,57,0.0
Luc De Fougerolles,9,0,39,0.0
Dane Scarlett,17,1,45,0.0
Lucas Digne,1,0,46,0.0
Ben Brereton,16,3,50,0.0
Jay Rodriguez,5,1,53,0.0
Dean Henderson,7,2,44,0.0
Aaron Connolly,4,1,45,0.0
Alex Mighten,15,3,44,0.0
Michail Antonio,18,1,57,0.0
Jamie Donley,17,1,45,0.0
Malang Sarr,6,0,43,0.0
Ângelo Gabriel Borges Damaceno,6,3,50,0.0
Micky van de Ven,17,0,44,0.0
Adama Traoré,9,3,49,0.0
Shola Shoretire,13,1,44,0.0
Ademola Ola-Adebomi,7,1,45,0.0
Lisandro Martínez,13,0,47,0.0
Bryan Mbeumo,3,3,68,0.0
Karl Hein,0,2,40,0.0
Nicolas Pépé,0,3,49,0.0
Mauro Bandeira,0,3,45,0.0
Alexis Mac Allister,10,3,58,0.0
David Ozoh,7,3,45,0.0
Sydie Peck,16,3,44,0.0
Omari Kellyman,1,3,45,0.0
Youri Tielemans,1,3,56,0.0
Remo Freuler,15,3,49,0.0
Illia Zabarnyi,2,0,44,0.0
Mads Bech Sørensen,3,0,40,0.0
