name,team,minutes,expected_goals_conceded,saves,selected,bps,influence,creativity,position_DEF,position_FWD,position_GK,position_MID,GW,predicted_clean_sheets
Wout Faes,Leicester,65.33333333333333,1.4728571428571429,0.0,1157709.761904762,5.380952380952381,16.79047619047619,2.342857142857143,1.0,0.0,0.0,0.0,25,0.0
Yankuba Minteh,Brighton,31.285714285714285,0.43238095238095237,0.0,94430.80952380953,5.9523809523809526,6.828571428571429,8.561904761904762,0.0,0.0,0.0,1.0,25,0.0
Yasin Ayari,Brighton,52.38095238095238,0.7947619047619048,0.0,2984.6190476190477,7.9523809523809526,8.390476190476189,13.5,0.0,0.0,0.0,1.0,25,0.0
Yehor Yarmoliuk,Brentford,24.61904761904762,0.5961904761904762,0.0,317103.28571428574,5.619047619047619,5.79047619047619,4.214285714285714,0.0,0.0,0.0,1.0,25,0.0
Yerson Mosquera,Wolves,21.0,0.2680952380952381,0.0,71164.28571428571,1.1428571428571428,5.247619047619048,1.3,1.0,0.0,0.0,0.0,25,0.0
Yoane Wissa,Brentford,66.23809523809524,1.1304761904761904,0.0,736894.2857142857,18.38095238095238,20.114285714285717,8.5,0.0,1.0,0.0,0.0,25,0.36
Youri Tielemans,Aston Villa,84.33333333333333,1.0742857142857143,0.0,131107.7142857143,17.571428571428573,18.961904761904762,30.757142857142856,0.0,0.0,0.0,1.0,25,0.32
Youssef Ramalho Chermiti,Everton,0.0,0.0,0.0,1378.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,0.0
Yunus Emre Konak,Brentford,0.9047619047619048,0.058095238095238096,0.0,7250.619047619048,0.47619047619047616,0.06666666666666667,0.07619047619047618,0.0,0.0,0.0,1.0,25,0.0
Yves Bissouma,Spurs,45.80952380952381,0.8500000000000001,0.0,36995.47619047619,9.142857142857142,9.733333333333333,4.338095238095238,0.0,0.0,0.0,1.0,25,0.0
Zach Abbott,Nott'm Forest,0.0,0.0,0.0,702.6666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Zach Marsh,Crystal Palace,0.0,0.0,0.0,30004.090909090908,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25,0.0
Álex Moreno Lopera,Aston Villa,0.0,0.0,0.0,60127.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25,0.0
Álex Moreno Lopera,Nott'm Forest,39.4,0.529,0.0,64246.35,5.5,7.93,3.9300000000000006,1.0,0.0,0.0,0.0,25,0.0
Ângelo Gabriel Borges Damaceno,Chelsea,0.0,0.0,0.0,18991.571428571428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25,0.0
Đorđe Petrović,Chelsea,0.0,0.0,0.0,29660.190476190477,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25,0.0
Łukasz Fabiański,West Ham,46.666666666666664,0.9842857142857143,2.0,1838745.0476190476,5.714285714285714,15.485714285714286,0.014285714285714285,0.0,0.0,1.0,0.0,25,0.0
