name,team,GW,predicted_clean_sheets
Mateo Kovačić,Man City,31,0.6
Ezri Konsa Ngoyo,Aston Villa,31,0.4783492671118032
Yasin Ayari,Brighton,31,0.47775005761633976
Daniel Muñoz,Crystal Palace,31,0.4774155511961127
Dean Henderson,Crystal Palace,31,0.4766809617867354
Joelinton Cássio Apolinário de Lira,Newcastle,31,0.47644695604698784
Jacob Ramsey,Aston Villa,31,0.47623012286197136
Cheick Doucouré,Crystal Palace,31,0.4726746443940539
Will Hughes,Crystal Palace,31,0.47236973100818563
Lucas Digne,Aston Villa,31,0.4713367297597449
Chris Richards,Crystal Palace,31,0.4707613852856114
Jean-Philippe Mateta,Crystal Palace,31,0.46976778135370334
Ollie Watkins,Aston Villa,31,0.46878404263955764
Simon Adingra,Brighton,31,0.4670244963146471
Anthony Gordon,Newcastle,31,0.46376148173681336
Bruno Guimarães Rodriguez Moura,Newcastle,31,0.46224659525636674
Morgan Rogers,Aston Villa,31,0.4617265819269278
Pervis Estupiñán,Brighton,31,0.4604620764497023
Tino Livramento,Newcastle,31,0.4589270331803752
Sven Botman,Newcastle,31,0.45779054372264805
Emiliano Martínez Romero,Aston Villa,31,0.45772618509837704
Bart Verbruggen,Brighton,31,0.45764529371404705
Jan Paul van Hecke,Brighton,31,0.45669757673588074
Boubacar Kamara,Aston Villa,31,0.4546650365278903
Matty Cash,Aston Villa,31,0.45447249987482
Maxence Lacroix,Crystal Palace,31,0.45434794023132086
Carlos Baleba,Brighton,31,0.4543425698084295
Tyrone Mings,Aston Villa,31,0.45241487238673717
Tyrick Mitchell,Crystal Palace,31,0.4509946768290856
Joël Veltman,Brighton,31,0.44661212676301787
Marc Guéhi,Crystal Palace,31,0.44508508280997333
Youri Tielemans,Aston Villa,31,0.44504490254413853
Adam Webster,Brighton,31,0.4446621409519921
Mitoma Kaoru,Brighton,31,0.44442329968536964
Lewis Hall,Newcastle,31,0.44262289119312015
Sandro Tonali,Newcastle,31,0.4421318381844277
Martin Dúbravka,Newcastle,31,0.4397372455852121
Matt O'Riley,Brighton,31,0.43272042123831833
Jacob Murphy,Newcastle,31,0.4305766553728293
João Pedro Junqueira de Jesus,Brighton,31,0.4304982936551875
Amadou Onana,Aston Villa,31,0.4301942664565396
