season_x,name,team_x,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,opp_team_name,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,position_DEF,position_FWD,position_GK,position_MID,predicted_assists
2023-24,Ollie Watkins,Aston Villa,0,3,59,0,14.8,60,244,1,2,13.3,70.4,2024-02-17T15:00:00Z,90,10,Fulham,0,0,0,0,25,0,4978551,2.0,1.0,48.0,13,-479038,81725,560763,87,False,0,25,False,True,False,False,0.29
2023-24,Gabriel dos Santos Magalhães,Arsenal,0,0,31,1,0.8,5,242,0,0,4.6,26.2,2024-02-17T15:00:00Z,90,6,Burnley,0,0,0,0,25,0,2429400,5.0,0.0,19.0,6,349019,372017,22998,51,False,0,25,True,False,False,False,0.0
2023-24,Takehiro Tomiyasu,Arsenal,0,0,0,0,0.0,25,242,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,6,Burnley,0,0,0,0,25,0,26299,5.0,0.0,0.0,0,-412,327,739,45,False,0,25,True,False,False,False,0.0
2023-24,Harrison Reed,Fulham,0,0,0,0,0.0,282,244,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,2,Aston Villa,0,0,0,0,25,0,31456,2.0,1.0,0.0,0,-184,802,986,45,True,0,25,False,False,False,True,0.0
2023-24,Manor Solomon,Spurs,0,0,0,0,0.0,583,250,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,20,Wolves,0,0,0,0,25,0,7985,2.0,1.0,0.0,0,-44,8,52,51,True,0,25,False,False,False,True,0.0
2023-24,Marcus Oliveira Alencar,Arsenal,0,0,0,0,0.0,11,242,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,6,Burnley,0,0,0,0,25,0,4369,5.0,0.0,0.0,0,-27,0,27,45,False,0,25,False,False,False,True,0.0
2023-24,Eric Bailly,Man Utd,0,0,0,0,0.0,375,245,0,0,0.0,0.0,2024-02-18T16:30:00Z,0,12,Luton,0,0,0,0,25,0,8914,2.0,1.0,0.0,0,-68,0,68,40,False,0,25,True,False,False,False,0.0
2023-24,Hakim Ziyech,Chelsea,0,0,0,0,0.0,218,246,0,0,0.0,0.0,2024-02-17T17:30:00Z,0,13,Man City,0,0,0,0,25,0,7493,1.0,1.0,0.0,0,-10,0,10,54,False,0,25,False,False,False,True,0.0
2023-24,Gianluca Scamacca,West Ham,0,0,0,0,0.0,541,248,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,16,Nott'm Forest,0,0,0,0,25,0,2043,0.0,2.0,0.0,0,-7,0,7,60,False,0,25,False,True,False,False,0.0
2023-24,Wilson Odobert,Burnley,0,0,7,0,0.8,660,242,5,0,0.7,2.4,2024-02-17T15:00:00Z,79,1,Arsenal,0,0,0,0,25,0,6125,5.0,0.0,4.0,2,-738,542,1280,50,True,0,25,False,False,False,True,0.0
2023-24,Jili Buyabu,Sheffield Utd,0,0,0,0,0.0,731,249,0,0,0.0,0.0,2024-02-18T14:00:00Z,0,5,Brighton,0,0,0,0,25,0,1805,5.0,0.0,0.0,0,-96,0,96,40,True,0,25,True,False,False,False,0.0
2023-24,Benicio Baker-Boaitey,Brighton,0,0,0,0,0.0,742,249,0,0,0.0,0.0,2024-02-18T14:00:00Z,0,17,Sheffield Utd,0,0,0,0,25,0,536,5.0,0.0,0.0,0,54,100,46,45,False,0,25,False,False,False,True,0.0
2023-24,Christian Nørgaard,Brentford,0,0,10,0,31.7,110,241,2,0,4.1,8.6,2024-02-17T12:30:00Z,62,11,Liverpool,0,0,0,0,25,0,31205,4.0,1.0,1.0,2,8824,10331,1507,53,True,0,25,False,False,False,True,0.0
2023-24,Christian Nørgaard,Brentford,0,0,15,0,4.2,110,176,1,0,1.8,11.6,2024-02-20T19:30:00Z,90,13,Man City,0,0,0,0,25,0,31205,0.0,1.0,2.0,2,8824,10331,1507,53,False,0,25,False,False,False,True,0.0
2023-24,Sean Longstaff,Newcastle,0,0,16,0,24.7,421,247,2,0,3.7,10.2,2024-02-17T15:00:00Z,90,3,Bournemouth,0,0,0,0,25,0,53721,2.0,2.0,2.0,2,3467,8652,5185,48,True,0,25,False,False,False,True,0.0
2023-24,Pelly Ruddock Mpanzu,Luton,0,0,0,0,0.0,582,245,0,0,0.0,0.0,2024-02-18T16:30:00Z,0,14,Man Utd,0,0,0,0,25,0,3686,2.0,1.0,0.0,0,55,164,109,47,True,0,25,False,False,False,True,0.0
2023-24,Pelly Ruddock Mpanzu,Luton,0,0,4,0,10.7,582,257,4,0,1.3,2.6,2024-02-21T19:30:00Z,45,11,Liverpool,0,0,0,0,25,0,3686,1.0,4.0,0.0,1,55,164,109,47,False,0,25,False,False,False,True,0.0
2023-24,Danny Ings,West Ham,0,0,3,0,0.0,535,248,1,0,0.2,2.0,2024-02-17T15:00:00Z,1,16,Nott'm Forest,0,0,0,0,25,0,69166,0.0,2.0,0.0,1,13,2038,2025,56,False,0,25,False,True,False,False,0.0
2023-24,Donny van de Beek,Man Utd,0,0,0,0,0.0,400,245,0,0,0.0,0.0,2024-02-18T16:30:00Z,0,12,Luton,0,0,0,0,25,0,3962,2.0,1.0,0.0,0,-47,0,47,47,False,0,25,False,False,False,True,0.0
2023-24,Giulian Biancone,Nott'm Forest,0,0,0,0,0.0,438,248,0,0,0.0,0.0,2024-02-17T15:00:00Z,0,19,West Ham,0,0,0,0,25,0,6458,0.0,2.0,0.0,0,-68,0,68,39,True,0,25,True,False,False,False,0.0
2023-24,Albert Sambi Lokonga,Luton,0,0,19,0,31.3,21,245,2,0,6.5,32.8,2024-02-18T16:30:00Z,90,14,Man Utd,0,0,0,0,25,0,3642,2.0,1.0,1.0,2,78,591,513,49,True,0,25,False,False,False,True,0.0
2023-24,Albert Sambi Lokonga,Luton,0,0,4,0,0.6,21,257,0,0,0.4,3.8,2024-02-21T19:30:00Z,45,11,Liverpool,0,0,0,0,25,0,3642,1.0,4.0,0.0,1,78,591,513,49,False,0,25,False,False,False,True,0.0
